StockCode,Description,UnitPrice,LeadTime,HoldingCostDaily,StockoutPenalty
15036,ASSORTED COLOURS SILK FAN,1.0677649325626204,6,0.005,2.67
17003,BROCADE RING PURSE,0.363099173553719,7,0.002,0.91
21212,PACK OF 72 RETROSPOT CAKE CASES,0.7584306569343066,5,0.004,1.9
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.7425056179775281,7,0.004,1.86
22178,VICTORIAN GLASS HANGING T-LIGHT,1.6431041069723018,7,0.008,4.11
22197,SMALL POPCORN HOLDER,1.042468443197756,4,0.005,2.61
22492,MINI PAINT SET VINTAGE,0.7850263157894737,5,0.004,1.96
22616,PACK OF 12 LONDON TISSUES,0.44732954545454545,5,0.002,1.12
23084,RABBIT NIGHT LIGHT,2.3805019305019304,5,0.012,5.95
23166,MEDIUM CERAMIC TOP STORAGE JAR,1.46848,7,0.007,3.67
23843,"PAPER CRAFT , LITTLE BIRDIE",2.08,6,0.01,5.2
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.3206703910614525,5,0.002,0.8
84879,ASSORTED COLOUR BIRD ORNAMENT,1.7222901276024176,7,0.009,4.31
85099B,JUMBO BAG RED RETROSPOT,2.48545928030303,4,0.012,6.21
85123A,WHITE HANGING HEART T-LIGHT HOLDER,3.116949227373069,6,0.016,7.79
